epoch,accuracy,loss,lr,precision_8,recall_8,val_accuracy,val_loss,val_precision_8,val_recall_8
0,0.6800472140312195,0.8789685964584351,1e-05,0.7688751816749573,0.5891381502151489,0.7585301995277405,0.6541295647621155,0.8142414689064026,0.6902887225151062
1,0.7172372937202454,0.7956076264381409,1e-05,0.8017306327819824,0.6289846301078796,0.8031495809555054,0.5754311084747314,0.8537313342094421,0.7506561875343323
2,0.724616289138794,0.7612870931625366,1e-05,0.8052670359611511,0.6407909989356995,0.8031495809555054,0.5622504949569702,0.8588588833808899,0.7506561875343323
3,0.7473435401916504,0.7141099572181702,1e-05,0.8217025995254517,0.6638134717941284,0.787401556968689,0.5662123560905457,0.8461538553237915,0.7506561875343323
4,0.7570838332176208,0.6741673946380615,1e-05,0.8317117094993591,0.6812278628349304,0.8241469860076904,0.5352417230606079,0.8753799200057983,0.7559055089950562
5,0.7665289044380188,0.6511358022689819,1e-05,0.8397988677024841,0.6900826692581177,0.8031495809555054,0.6020543575286865,0.8353293538093567,0.7322834730148315
6,0.776564359664917,0.6111699342727661,1e-05,0.8434813618659973,0.6951003670692444,0.8162729740142822,0.5375052094459534,0.8664688467979431,0.7664042115211487
7,0.7889610528945923,0.6078080534934998,1e-05,0.8552212119102478,0.7131050825119019,0.8031495809555054,0.522402286529541,0.8690476417541504,0.7664042115211487
8,0.8063754439353943,0.5541250109672546,1e-05,0.8669214844703674,0.7364226579666138,0.8005249500274658,0.5498707294464111,0.8532934188842773,0.748031497001648
9,0.8096221685409546,0.5574309229850769,1e-05,0.8726003766059875,0.7378984689712524,0.8267716765403748,0.5035969614982605,0.8703169822692871,0.7926509380340576
10,0.8164108395576477,0.5252404808998108,1e-05,0.8741858005523682,0.7526564598083496,0.847769021987915,0.4374356269836426,0.8872832655906677,0.8057742714881897
11,0.8308736681938171,0.49970781803131104,1e-05,0.8849139213562012,0.7739078998565674,0.8057742714881897,0.559718906879425,0.8702064752578735,0.7742782235145569
12,0.8394333124160767,0.47405895590782166,1e-05,0.8946471214294434,0.7744982242584229,0.8320209980010986,0.48928144574165344,0.8714285492897034,0.8005249500274658
13,0.8537735939025879,0.45166847109794617,1e-05,0.900602400302887,0.7933372855186462,0.8188976645469666,0.5145596265792847,0.8616714477539062,0.7847769260406494
14,0.8536009192466736,0.4289439916610718,1e-05,0.9005672335624695,0.7966352105140686,0.8267716765403748,0.48393863439559937,0.8704225420951843,0.8110235929489136
15,0.8595041036605835,0.4206980764865875,5e-06,0.9063957333564758,0.8031286597251892,0.8451443314552307,0.43163034319877625,0.8831908702850342,0.8136482834815979
16,0.8713105320930481,0.3959886133670807,5e-06,0.9177173376083374,0.8164108395576477,0.8635170459747314,0.40366265177726746,0.9008498787879944,0.834645688533783
17,0.8798701167106628,0.3708793818950653,5e-06,0.9164748191833496,0.8226091861724854,0.8425197005271912,0.43594449758529663,0.875,0.8267716765403748
18,0.8751475811004639,0.3825541138648987,5e-06,0.9149704575538635,0.8226091861724854,0.8608924150466919,0.42121273279190063,0.8898305296897888,0.8267716765403748
19,0.8875442743301392,0.36119094491004944,5e-06,0.9253926873207092,0.8347107172012329,0.8687664270401001,0.40611356496810913,0.8945869207382202,0.8241469860076904
20,0.8795749545097351,0.3633280098438263,5e-06,0.9203770160675049,0.8358913660049438,0.8398950099945068,0.4510154724121094,0.8866279125213623,0.8005249500274658
21,0.8834120631217957,0.3565831184387207,2.5e-06,0.9238033294677734,0.8373671770095825,0.8530183434486389,0.4049586057662964,0.8971428275108337,0.8241469860076904
22,0.899350643157959,0.329403817653656,2.5e-06,0.9299871921539307,0.8586186766624451,0.8530183434486389,0.4006780683994293,0.8977272510528564,0.8293963074684143
23,0.8925619721412659,0.3364853262901306,2.5e-06,0.9305555820465088,0.8503541946411133,0.8451443314552307,0.40354323387145996,0.8971428275108337,0.8241469860076904
24,0.9005312919616699,0.3224288523197174,2.5e-06,0.939471960067749,0.8612750768661499,0.8451443314552307,0.4244319200515747,0.8764045238494873,0.8188976645469666
25,0.904073178768158,0.30561837553977966,2.5e-06,0.9354632496833801,0.8642266988754272,0.8398950099945068,0.44862785935401917,0.8742856979370117,0.8031495809555054
26,0.8996458053588867,0.3165324032306671,2.5e-06,0.9368149638175964,0.8577331900596619,0.8661417365074158,0.4085366129875183,0.8802228569984436,0.8293963074684143
27,0.9061393141746521,0.30983442068099976,1.25e-06,0.939481258392334,0.8659976124763489,0.8530183434486389,0.3942781686782837,0.895480215549469,0.8320209980010986
28,0.9046635031700134,0.3124314844608307,1.25e-06,0.9373594522476196,0.8612750768661499,0.8582677245140076,0.3969547152519226,0.8898305296897888,0.8267716765403748
29,0.9043683409690857,0.30804455280303955,1.25e-06,0.9398133158683777,0.8618654012680054,0.8556430339813232,0.37251922488212585,0.8901408314704895,0.8293963074684143
30,0.912042498588562,0.29905107617378235,1.25e-06,0.9434265494346619,0.8662927746772766,0.8530183434486389,0.3839404582977295,0.8926553726196289,0.8293963074684143
31,0.9144037961959839,0.3009710907936096,1.25e-06,0.941626787185669,0.8713105320930481,0.8530183434486389,0.3879847526550293,0.8781163692474365,0.8320209980010986
32,0.9123376607894897,0.2986259460449219,1.25e-06,0.939028263092041,0.872786283493042,0.8556430339813232,0.39443448185920715,0.8971428275108337,0.8241469860076904
33,0.9161747097969055,0.2865157723426819,1.25e-06,0.9497600197792053,0.8760330677032471,0.8582677245140076,0.389267235994339,0.8895184397697449,0.8241469860076904
34,0.9170601963996887,0.28398463129997253,6.25e-07,0.9465649127960205,0.8783943057060242,0.8556430339813232,0.38018539547920227,0.887005627155304,0.8241469860076904
35,0.9126328229904175,0.29813769459724426,6.25e-07,0.9474856853485107,0.8786894679069519,0.8608924150466919,0.3777420222759247,0.8876404762268066,0.8293963074684143
36,0.9146989583969116,0.2808111310005188,6.25e-07,0.9441092610359192,0.8775088787078857,0.8530183434486389,0.381542444229126,0.8841807842254639,0.8215222954750061
37,0.9170601963996887,0.2810197174549103,6.25e-07,0.9510022401809692,0.8822314143180847,0.8530183434486389,0.3867380619049072,0.8831908702850342,0.8136482834815979
38,0.9185360074043274,0.28361183404922485,3.125e-07,0.9457215666770935,0.8742620944976807,0.8608924150466919,0.3834824562072754,0.8866855502128601,0.8215222954750061
39,0.9161747097969055,0.2914946973323822,3.125e-07,0.941213846206665,0.8742620944976807,0.8582677245140076,0.3822678327560425,0.8838527202606201,0.8188976645469666
